composer_id,name,tradition,song_count,quality_score
Advaita Dasa,Advaita Dasa,,0,1.0
U. Ve. Swaminatha Iyer,U. Ve. Swaminatha Iyer,,0,1.0
Mahadevan Sankaranarayanan,Mahadevan Sankaranarayanan,,0,1.0
Kesavananda Bharathi,Kesavananda Bharathi,,0,1.0
Rajaji,Rajaji,,0,1.0
Rudrapatnam Venkataramayya,Rudrapatnam Venkataramayya,,0,1.0
Sistla Sri Ramachandra Murthy,Sistla Sri Ramachandra Murthy,,0,1.0
Lingaraja Urs,Lingaraja Urs,,0,1.0
Arunagirinathar,Arunagirinathar,,0,1.0
Illango Adigal,Illango Adigal,,0,1.0
Puducode Krishnamoorthy,Puducode Krishnamoorthy,,0,1.0
Shankaradas Swamigal,Shankaradas Swamigal,,0,1.0
Pedda Tirumalacharya,Pedda Tirumalacharya,,0,1.0
Sankaran Namboothiri,Sankaran Namboothiri,,0,1.0
Bangalore Ramamurthi,Bangalore Ramamurthi,,0,1.0
E. S. Sankaranarayana Iyer,E. S. Sankaranarayana Iyer,,0,1.0
K. Lakshmana Sharma,K. Lakshmana Sharma,,0,1.0
Parvathi Srinivasan,Parvathi Srinivasan,,0,1.0
Mysore Sivaramayya,Mysore Sivaramayya,,0,1.0
Chittoor Subramaniam Pillai,Chittoor Subramaniam Pillai,,0,1.0
Chitti Babu,Chitti Babu,,0,1.0
Veenai Varadayya,Veenai Varadayya,,0,1.0
Veene Sheshanna,Veene Sheshanna,,0,1.0
Krishnaswami Iyengar,Krishnaswami Iyengar,,0,1.0
Vijaya Vittala Dasa,Vijaya Vittala Dasa,,0,1.0
Mazhavai Chidambara Bharathi,Mazhavai Chidambara Bharathi,,0,1.0
Basavanna,Basavanna,,0,1.0
T. N. Bala,T. N. Bala,,0,1.0
Leela Sukhar,Leela Sukhar,,0,1.0
Rukmini Ramani,Rukmini Ramani,,0,1.0
Nammazhwar,Nammazhwar,,0,1.0
Venkata Dasa,Venkata Dasa,,0,1.0
Puttaparti Narayanacharyulu,Puttaparti Narayanacharyulu,,0,1.0
Kavi Mathrubudaya,Kavi Mathrubudaya,,0,1.0
Venugopala Dasa,Venugopala Dasa,,0,1.0
Rabindranath Tagore,Rabindranath Tagore,,0,1.0
Madurai N. Mahalingam,Madurai N. Mahalingam,,0,1.0
T. Chowdiah,T. Chowdiah,,0,1.0
G. S. Mani,G. S. Mani,,0,1.0
S. Dayananda Saraswathi,S. Dayananda Saraswathi,,0,1.0
Dayton Rangarajan,Dayton Rangarajan,,0,1.0
Parameswara Bagavathar,Parameswara Bagavathar,,0,1.0
Marimuthu Pillai,Marimuthu Pillai,,0,1.0
Vazhuvoor Subramanya Nattuvanar,Vazhuvoor Subramanya Nattuvanar,,0,1.0
Krishnadasan,Krishnadasan,,0,1.0
Guru Surajananda,Guru Surajananda,,0,1.0
Pallavi Seshayya,Pallavi Seshayya,,0,1.0
Subbarama Dikshitar,Subbarama Dikshitar,,0,1.0
Mudikondan Venkatarama Iyer,Mudikondan Venkatarama Iyer,,0,1.0
Gopalakrishna Bharathi,Gopalakrishna Bharathi,,0,1.0
Vanamalai Jeeyar Swamigal,Vanamalai Jeeyar Swamigal,,0,1.0
Shrikantam Nagendra Shastri,Shrikantam Nagendra Shastri,,0,1.0
K. Ramaraj,K. Ramaraj,,0,1.0
C. S. Shankarashivam,C. S. Shankarashivam,,0,1.0
Prabhakara Varma,Prabhakara Varma,,0,1.0
D. Pattammal,D. Pattammal,,0,1.0
Mysore Sadasiva Rao,Mysore Sadasiva Rao,,0,1.0
Thanjavur Sankara Iyer,Thanjavur Sankara Iyer,,0,1.0
Sanjay Subrahmanyan,Sanjay Subrahmanyan,,0,1.0
Coimbatore Kunjammal,Coimbatore Kunjammal,,0,1.0
V. R. Gopala Iyer,V. R. Gopala Iyer,,0,1.0
Jagannatha Dasa,Jagannatha Dasa,,0,1.0
Pamban Swamigal,Pamban Swamigal,,0,1.0
M. Balamuralikrishna,M. Balamuralikrishna,,0,1.0
V. V. Sadagopan,V. V. Sadagopan,,0,1.0
Basavappa Sastri,Basavappa Sastri,,0,1.0
Achutha Dasa,Achutha Dasa,,0,1.0
Maharajapuram Santhanam,Maharajapuram Santhanam,,0,1.0
Namakkal Narasimha Iyengar,Namakkal Narasimha Iyengar,,0,1.0
Govindasami Ayya,Govindasami Ayya,,0,1.0
Tarangapadi Panchanada Iyer,Tarangapadi Panchanada Iyer,,0,1.0
Vageesh,Vageesh,,0,1.0
B. K. Padmanabha Rao,B. K. Padmanabha Rao,,0,1.0
Suguna Purushothaman,Suguna Purushothaman,,0,1.0
E. V. Ramakrishna Bhagavatar,E. V. Ramakrishna Bhagavatar,,0,1.0
Sant Eknath,Sant Eknath,,0,1.0
Thiruvalampozhil K. Ramkumar,Thiruvalampozhil K. Ramkumar,,0,1.0
Sant Tukaram,Sant Tukaram,,0,1.0
Periaswamy Thooran,Periaswamy Thooran,,0,1.0
Anai Ayya,Anai Ayya,,0,1.0
Mayavaram Viswanatha Sastri,Mayavaram Viswanatha Sastri,,0,1.0
Kannikeswaran,Kannikeswaran,,0,1.0
Sundarar,Sundarar,,0,1.0
Muthu Thandavar,Muthu Thandavar,,0,1.0
Duraiswamy Kavirayar,Duraiswamy Kavirayar,,0,1.0
Kovai Subri,Kovai Subri,,0,1.0
Kallidaikurichi Sundaram Iyer,Kallidaikurichi Sundaram Iyer,,0,1.0
Nadopasana R. Srinivasan,Nadopasana R. Srinivasan,,0,1.0
Lakshmi Ammal,Lakshmi Ammal,,0,1.0
S. R. Mahadeva Sarma,S. R. Mahadeva Sarma,,0,1.0
Indira Natesan,Indira Natesan,,0,1.0
PK Rajagopala Iyer,PK Rajagopala Iyer,,0,1.0
Melputhoor Narayana Bhattathri,Melputhoor Narayana Bhattathri,,0,1.0
Puliyur Doraiswamy Iyer,Puliyur Doraiswamy Iyer,,0,1.0
Gomathi Subramaniam,Gomathi Subramaniam,,0,1.0
Neelakanta Sivan,Neelakanta Sivan,,0,1.0
Kanaka Dasa,Kanaka Dasa,,0,1.0
