name,song_count,total_views,tradition,file_path
Dagar Brothers,267,549239,Hindustani,Hindustani/artist/Dagar Brothers.json
Pallavi Joshi,100,473460,Hindustani,Hindustani/artist/Pallavi Joshi.json
Shamim Ahmed Khan,63,26772,Hindustani,Hindustani/artist/Shamim Ahmed Khan.json
Sudip Chattopadhyay,138,84472,Hindustani,Hindustani/artist/Sudip Chattopadhyay.json
Manas Chakraborty,153,268564,Hindustani,Hindustani/artist/Manas Chakraborty.json
Sanjoy Bandopadhyay,163,115554,Hindustani,Hindustani/artist/Sanjoy Bandopadhyay.json
Praveen Sheolikar,63,151126,Hindustani,Hindustani/artist/Praveen Sheolikar.json
Arnab Chakrabarty,127,296158,Hindustani,Hindustani/artist/Arnab Chakrabarty.json
Shalmalee Joshi,220,159460,Hindustani,Hindustani/artist/Shalmalee Joshi.json
Zohrabai Agrewali,75,129463,Hindustani,Hindustani/artist/Zohrabai Agrewali.json
Wajahat Khan,68,163265,Hindustani,Hindustani/artist/Wajahat Khan.json
Sharad Sathe,273,120947,Hindustani,Hindustani/artist/Sharad Sathe.json
Vasantrao Deshpande,688,6952459,Hindustani,Hindustani/artist/Vasantrao Deshpande.json
Manik Varma,344,2671471,Hindustani,Hindustani/artist/Manik Varma.json
Amir Khan,1739,65350551,Hindustani,Hindustani/artist/Amir Khan.json
Kashinath Mukherjee,21,5624,Hindustani,Hindustani/artist/Kashinath Mukherjee.json
Dilshad Khan,496,4739186,Hindustani,Hindustani/artist/Dilshad Khan.json
Yogesh Samsi,608,3279147,Hindustani,Hindustani/artist/Yogesh Samsi.json
Samaresh Chowdhury,87,83976,Hindustani,Hindustani/artist/Samaresh Chowdhury.json
Arati Thakur Kundalkar,128,107135,Hindustani,Hindustani/artist/Arati Thakur Kundalkar.json
Raghunandan Panshikar,547,1786770,Hindustani,Hindustani/artist/Raghunandan Panshikar.json
Abhishek Lahiri,224,596901,Hindustani,Hindustani/artist/Abhishek Lahiri.json
Vasant Thakar,6,851,Hindustani,Hindustani/artist/Vasant Thakar.json
Mushtaq Hussain Khan,145,112602,Hindustani,Hindustani/artist/Mushtaq Hussain Khan.json
Murad Ali Khan,314,1364424,Hindustani,Hindustani/artist/Murad Ali Khan.json
Sulochana Brahaspati,67,47286,Hindustani,Hindustani/artist/Sulochana Brahaspati.json
Latafat Hussain Khan,312,173928,Hindustani,Hindustani/artist/Latafat Hussain Khan.json
Manjiri Asnare Kelkar,278,597620,Hindustani,Hindustani/artist/Manjiri Asnare Kelkar.json
Kaushiki Chakraborty,2618,124275600,Hindustani,Hindustani/artist/Kaushiki Chakraborty.json
Ram Chatur Mallick,157,88032,Hindustani,Hindustani/artist/Ram Chatur Mallick.json
Debashish Bhattacharya,765,2711052,Hindustani,Hindustani/artist/Debashish Bhattacharya.json
Ramesh Narayan,125,2055469,Hindustani,Hindustani/artist/Ramesh Narayan.json
Omkarnath Thakur,456,929517,Hindustani,Hindustani/artist/Omkarnath Thakur.json
Varsha Agrawal,83,49544,Hindustani,Hindustani/artist/Varsha Agrawal.json
Prabha Atre,1308,6725997,Hindustani,Hindustani/artist/Prabha Atre.json
Hafeez Ahmed Khan,139,61250,Hindustani,Hindustani/artist/Hafeez Ahmed Khan.json
Radhika Mohan Maitra,196,214745,Hindustani,Hindustani/artist/Radhika Mohan Maitra.json
Barkat Ali Khan,695,2102534,Hindustani,Hindustani/artist/Barkat Ali Khan.json
Devashish Dey,1436,193434,Hindustani,Hindustani/artist/Devashish Dey.json
Manu Seen,84,83429,Hindustani,Hindustani/artist/Manu Seen.json
Samta Prasad,267,848048,Hindustani,Hindustani/artist/Samta Prasad.json
Veena Sahasrabuddhe,1111,2750688,Hindustani,Hindustani/artist/Veena Sahasrabuddhe.json
Brij Bhushan Kabra,210,224750,Hindustani,Hindustani/artist/Brij Bhushan Kabra.json
Gagandeep Hothi,32,76857,Hindustani,Hindustani/artist/Gagandeep Hothi.json
Sawani Shende,456,3829749,Hindustani,Hindustani/artist/Sawani Shende.json
Sabir Khan,515,4287168,Hindustani,Hindustani/artist/Sabir Khan.json
Enayat Khan,15,25972,Hindustani,Hindustani/artist/Enayat Khan.json
D. V. Paluskar,607,2072137,Hindustani,Hindustani/artist/D. V. Paluskar.json
Devendra Murdeshwar,50,64015,Hindustani,Hindustani/artist/Devendra Murdeshwar.json
Abhay Sopori,204,564491,Hindustani,Hindustani/artist/Abhay Sopori.json
Janardhan Mitta,45,39471,Hindustani,Hindustani/artist/Janardhan Mitta.json
Mushtaq Ali Khan,77,90146,Hindustani,Hindustani/artist/Mushtaq Ali Khan.json
